bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_ses-01_T1w	0.7131746938775511	1.156622918275554	0.5929	4205.1812	4.735519596016956	4.5821001213842	4.700117333333334	4.9243413333333335	0.2742396402428477	0.36411158723265497	0.36164877252449734	0.6508388519287109	0.26147173643112176	0.0	0.001086396369828195	5.394469091156506	5.26207800425945	5.363385610445075	192	256	256	1.872081593405211	4.177767915072223	4.98270119359839	8.898254072317737	3.0550450983140363	5.981366386305852	5.706755590951782	8.083855288235457	0.8999999761581421	0.9375	0.9375	580.1145	0.0	12.1626	0.0	3634070.0	0.0	35.0	76.3421	-0.6581	155.7672	385.576	356.0	626773.8749663807	124.0	717.0	190.1625	3.6056	87.9521	699.9986	697.0	832175.9401663395	414.0	988.0	166.8354	-0.4022	86.7757	922.0605	942.0	826547.1845400952	725.0	1067.0	105.8634	0.2137302118326802	0.5281822811694965	0.538303506598024	0.3202344286830559
sub-02_ses-01_T1w	0.6711209486166009	1.3598994629696766	0.5974	-1.0	4.43628166739327	4.276589002179809	4.623552	4.408704	0.27032438391718605	0.37023551491093865	0.35944010117187536	0.6166815161705017	0.22813470661640167	0.0	0.0006739518923206644	5.653342671796519	5.533392301439956	5.64268901333541	192	256	256	2.093360017995696	4.390027662460607	5.219984596698262	9.17656610963848	26.108234543490223	45.53917124977067	44.69338019039076	62.4327347779114	0.8999999761581421	0.9375	0.9375	1977.8645	0.0	3.4128	0.0	3280930.0	0.0	17.0	9.8114	-0.2629	142.1308	405.8965	391.0	589184.4298880588	126.0	716.0	186.7809	6.8001	89.3041	686.2273	682.0	806945.3358818701	429.0	960.0	155.352	0.106	80.4895	914.9717	935.0	783416.2350398082	724.0	1054.0	101.8899	0.23222070338501116	0.5376496170659003	0.5527086883346866	0.4275097403367748
sub-03_ses-01_T1w	0.5766254826254826	1.3956306601601802	0.6167	-1.0	4.493497076104817	4.424277894981117	4.420864	4.635349333333334	0.27167731933430234	0.37613907717222655	0.352183603493471	0.5299374461174011	0.20923182368278503	0.0	0.001038016803326395	5.582287510596251	5.468914068641586	5.555733361568593	192	256	256	1.8305613702654029	5.224363678030203	5.4606116196724175	9.326909810721649	2.791042515074718	5.470761397069532	5.264017507063998	7.530248609047743	0.8999999761581421	0.9375	0.9375	239.4497	0.0	8.0589	0.0	3359502.0	0.0	11.0	82.3896	-0.1842	162.8771	377.9178	351.0	602158.9229522529	112.0	704.0	191.7443	1.1572	78.9342	695.5399	688.0	833693.0817238253	483.0	950.0	131.6906	0.587	70.4118	917.7579	947.0	780596.9960271744	715.0	1039.0	101.5341	0.21387725874794716	0.5360298000375366	0.5550162346670556	0.41022119297647547
sub-04_ses-01_T1w	0.5974036437246963	1.4693467392064692	0.5584	-1.0	4.215437964169248	4.330911225841078	4.088096	4.227306666666666	0.2704907840686635	0.37695038801882663	0.35255882791251	0.5257108509540558	0.18089570105075836	0.0	0.001068404474937438	6.310600210869354	6.198532542428506	6.2960243371016515	192	256	256	1.9712288793725048	5.33930974960183	5.631388276708912	9.583626201152402	7.342038048065083	12.689942305297672	12.399886481176582	17.167679090166995	0.8999999761581421	0.9375	0.9375	810.2626	0.0	3.6369	0.0	4232220.0	0.0	10.0	36.1385	4.2986	155.7424	421.0035	405.0	529970.4296161887	123.0	749.0	205.4554	0.01	80.1781	705.7735	700.0	738555.8800835698	494.0	954.0	131.103	1.357	67.3806	921.0579	947.0	690765.6914711833	728.0	1042.0	98.8143	0.21664462598349454	0.5454195852431726	0.5559942676024683	0.4074238106145475
sub-05_ses-01_T1w	0.5628407547169811	1.5367634597385817	0.5596	-1.0	3.984288776182595	4.01365566188112	3.8921706666666664	4.04704	0.27556350046307343	0.37729501980641317	0.34714147973051346	0.5460772216320038	0.17852961122989652	0.0	0.002718601602419855	6.212344074934484	6.1077354926101455	6.216787836629752	192	256	256	1.995012531568565	5.019482985799855	5.371202951230614	9.099113336323422	14.451135360040144	23.388922869448855	23.434582064899217	32.46368796520866	0.8999999761581421	0.9375	0.9375	1827.9105	0.0	3.0025	0.0	4028505.0	0.0	15.0	19.1312	9.9511	150.7134	433.5511	422.0	547013.3892232964	113.0	756.0	211.5273	1.5002	82.268	691.073	683.0	748957.7798748903	473.0	950.0	136.0697	4.2436	66.8848	921.194	948.0	689100.8317439506	717.0	1043.0	104.1859	0.2261792853686468	0.5379737235122769	0.5530005122496137	0.3696330043320388
sub-06_ses-01_T1w	0.5760690839694657	1.4930276885493392	0.5904	-1.0	4.42447589068131	4.397289005377266	4.360117333333333	4.516021333333333	0.2716286029184405	0.37706198561029514	0.3513094114712644	0.5243238806724548	0.19604840874671936	0.0	0.0022045811304676702	5.299865106396183	5.187535762509265	5.28279537867811	192	256	256	2.0574953714321684	5.232511636919253	5.454870540842656	9.074604614176545	4.7214209631598765	8.533438943969697	8.350727842492974	11.797323620349347	0.8999999761581421	0.9375	0.9375	527.5619	0.0	4.5458	0.0	3770766.0	0.0	12.0	52.5894	-0.7002	151.472	401.4446	379.0	632504.8580076293	144.0	709.0	184.2044	-0.3933	78.0002	691.3045	685.0	878013.3428736326	477.0	944.0	130.9122	-0.2082	72.9299	917.0092	947.0	818046.8000496081	709.0	1045.0	104.3571	0.2226059665812629	0.533250570334686	0.5548222207063558	0.47312944292135883
sub-07_ses-01_T1w	0.5226483516483517	1.7298978698208538	0.5412	-1.0	4.2389650752379735	4.326111225713921	4.150101333333334	4.240682666666666	0.2703795900265563	0.38253375074078627	0.3470866592326574	0.5094342827796936	0.17692961841821664	0.0	0.0012692816959864477	6.06179591072988	5.97131712595095	6.080656324885585	192	256	256	2.244339238585504	5.557419762897037	5.856206768133403	9.766861302917668	54.379211283956344	86.95603482702576	87.63207785775093	121.56098746227072	0.8999999761581421	0.9375	0.9375	206.6396	0.0	2.1804	0.0	4815585.0	0.0	12.0	5.1684	1.4751	138.7282	439.0496	429.0	550245.1777679973	152.0	737.0	191.1474	1.0519	77.659	689.1835	686.0	778488.3158449532	487.0	924.0	123.4385	1.9937	65.024	931.8639	959.0	706350.5070468367	731.0	1048.0	98.1891	0.230663482050877	0.5392117712211894	0.5565396310502471	0.46771155466168896
sub-08_ses-01_T1w	0.5932173076923077	1.673758412406794	0.5891	15583.1027	4.515151002641016	4.493389007923048	4.523648	4.528416000000001	0.2653362425065564	0.37978212130973066	0.35488163618371293	0.5204765796661377	0.1860615611076355	0.0	0.001060976227405969	5.045818753314012	4.961212503345044	5.071461081608328	192	256	256	2.3247965011408436	5.456403359680816	6.365702740118063	11.315908359532527	39.41600356131121	61.15666920275192	61.569093754215565	84.13460849858356	0.8999999761581421	0.9375	0.9375	1207.3734	7.413	6.0997	5.0	4422199.0	0.0	20.0	31.1175	-0.1922	134.2063	446.9334	446.0	646082.6067308667	138.0	748.0	191.8446	-0.7601	90.1795	697.0724	692.0	924753.5150404715	494.0	933.0	126.8234	-0.0307	64.057	938.2146	952.0	864121.8795461867	774.0	1054.0	84.1293	0.23307978196570378	0.5412702868834783	0.5415499592138656	0.4783008063721374
sub-09_ses-01_T1w	0.5161360594795539	1.7673360742807738	0.6154	-1.0	4.407518113149899	4.425189006116364	4.344853333333333	4.452512	0.26606594930589694	0.3833384106052962	0.35059564008880684	0.47850194573402405	0.1947721242904663	0.0	0.0008718370914920641	5.172254062660252	5.117131013111814	5.2298978823342726	192	256	256	2.5459390997286477	6.307760082141727	7.7805560449625295	14.487968953017214	4.079724124648512	5.947144239436077	6.078929142431597	8.2099190632102	0.8999999761581421	0.9375	0.9375	317.213	0.0	7.3955	0.0	3362848.0	0.0	13.0	77.883	-0.1079	134.0743	482.2913	485.0	632071.8567051312	180.0	777.0	190.4993	-0.7241	85.5106	711.4	707.0	910666.7785553926	531.0	912.0	112.0841	0.1074	53.33	965.0447	976.0	832882.36529989	834.0	1057.0	67.3662	0.2352787278914969	0.5231452603194899	0.539296139415374	0.41439735370383346
sub-10_ses-01_T1w	0.801209756097561	0.9101059081545865	0.6155	5174.7368	4.053251739790368	4.08667788603777	3.998272	4.074805333333333	0.26398048058172896	0.36867030762629466	0.3673492117919764	0.7097168564796448	0.3085222840309143	0.0	0.0004146744819313975	6.010157643406497	5.893356683937899	6.0080832771160155	192	256	256	2.2977440739918964	4.684308434862835	5.577710582791721	9.75107923952043	2.6731451766462446	3.5988454507811483	3.6285470638549953	4.6136505641375924	0.8999999761581421	0.9375	0.9375	217.122	0.0	21.2145	0.0	3573980.0	0.0	52.0	132.3436	16.133	183.344	545.7408	540.0	538156.1513683302	192.0	922.0	235.0129	1.5801	88.8433	731.518	727.0	751579.03129326	480.0	989.0	155.1989	0.2083	75.4047	926.8236	932.0	748885.8175820843	761.0	1075.0	95.5791	0.2672109607729805	0.5425748037282097	0.5617347376865687	0.30113925297100114
