trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0921491	0.01984
-0.0051	0.0087	0.0234	0.0006597344572538566	0.00012740903539558605	-2.96705972839036e-05	1.34977913	43.39152908	1.04927436	0.07804070449666733	0.0854366	0.01508
-0.0047	0.0503	0.0575	3.665191429188092e-05	5.93411945678072e-05	1.3962634015954635e-05	1.24147284	39.90979385	1.00847911	0.11283918075448064	0.0812228	0.01247
0.0018	0.0817	0.0472	-0.0004729842272904633	0.00033684854563490564	0.00019024088846738194	1.19625282	38.45609665	0.98854942	0.0963710873550435	0.0826831	0.01402
-0.0089	0.0241	0.0175	1.7453292519943296e-05	0.0003089232776029963	7.504915783575618e-05	1.08772361	34.9671936	0.96341145	0.12967772592369708	0.0865715	0.01589
-0.0117	0.0148	0.023	0.0004625122517784973	7.330382858376184e-05	-2.792526803190927e-05	1.02964735	33.10020828	0.93959101	0.05678264170727269	0.0817368	0.0127
-0.005	0.0511	0.0423	0.00010995574287564276	5.759586531581287e-05	5.235987755982988e-06	1.08114421	34.75568771	0.98252236	0.08237128639793478	0.0785114	0.01002
0.0025	0.0594	0.0467	-0.00041189770347066176	-6.108652381980153e-05	0.00017453292519943296	1.21879017	39.18061066	1.00121384	0.06069163864626844	0.0803253	0.01076
-0.0016	-0.0139	0.0282	3.490658503988659e-05	-0.00013439035240356338	8.203047484373349e-05	1.18498266	38.09379578	1.00377152	0.12653052837250048	0.0829389	0.012
-0.0034	-0.0137	0.0357	0.000445058959258554	-0.00012740903539558605	2.4434609527920616e-05	1.31275117	42.20118713	0.99369491	0.033236477827122884	0.081402	0.01212
-0.0015	0.0147	0.0452	0.0001186823891356144	-0.000158824961931484	3.839724354387525e-05	1.23167372	39.59477997	0.99563842	0.0583877565337396	0.0815754	0.0124
0.0076	0.043	0.0492	-0.0005724679946541401	2.6179938779914945e-05	0.0001605702911834783	1.42949915	45.95429993	1.00610098	0.09131641660703783	0.0833635	0.01365
0.0059	-0.003	0.0269	-0.00031415926535897925	-3.4906585039886588e-06	0.0001832595714594046	1.23397458	39.66874313	1.00371153	0.08553343034274953	0.0882452	0.01903
0.0075	-0.0111	0.0396	9.773843811168246e-05	-1.7453292519943294e-06	9.42477796076938e-05	1.19308376	38.35422134	0.98352482	0.047532741228718346	0.0859128	0.01749
0.0004	0.0193	0.0438	0.0003612831551628262	-9.42477796076938e-05	6.806784082777885e-05	1.22101259	39.25205231	0.98227666	0.060811355309337914	0.0816045	0.01466
-0.0085	0.0818	0.0755	-0.00013962634015954637	-0.0002199114857512855	8.901179185171081e-05	1.16862357	37.5678978	0.98416099	0.1354758576244948	0.0761968	0.01078
-0.0175	0.0595	0.0717	-0.00013788101090755203	-0.00033335788713091696	3.665191429188092e-05	1.04777014	33.68280411	0.90800063	0.04347758040957279	0.07561	0.01013
-0.0201	0.0342	0.0634	0.0002478367537831948	-0.0003682644721708035	-0.00019896753472735358	1.03872561	33.3920517	0.91674145	0.06901218993749339	0.0755484	0.00955
-0.0281	0.0215	0.0533	0.0004433136300065597	-0.00023387411976724014	-0.0003717551306747922	0.9915477	31.8754158	0.93359804	0.05593274122871834	0.0756186	0.00909
-0.0295	0.0303	0.0825	0.00019547687622336493	-0.0003054326190990077	-0.0003892084231947355	1.04602611	33.6267395	0.97917735	0.05624242728174528	0.0707262	0.00601
-0.0369	0.0735	0.1	-0.00037350045992678646	-0.0005078908123303499	-0.00034208453339088857	1.07752049	34.63919449	0.97532972	0.109027970959267	0.0676996	0.00441
-0.0408	0.0263	0.0606	-0.000307177948351002	-0.0003682644721708035	-0.00035430183815484887	1.1733588	37.72011948	0.98380382	0.10140830782496456	0.0736665	0.00613
-0.0449	0.0067	0.0611	0.0005096361415823442	-0.0004974188368183839	-0.0004677482395344803	1.13349628	36.43865585	0.98933148	0.0771707427980279	0.0698544	0.00477
-0.0468	0.0444	0.073	0.00048345620280242926	-0.0005672320068981572	-0.0005235987755982988	1.25586784	40.37255096	1.00095685	0.05909218224617534	0.0692759	0.00498
-0.0489	0.0922	0.1102	-0.0003665191429188092	-0.000614355896702004	-0.00047822021504644627	1.37822509	44.3059845	1.0189679	0.1342238898038469	0.0659365	0.00416
-0.0451	0.0727	0.1017	-0.00046425758103049166	-0.0005183627878423159	-0.00042411500823462205	1.16673446	37.50716782	0.98435422	0.044191837689159755	0.0704377	0.00572
-0.044	0.0201	0.112	-7.67944870877505e-05	-0.0003874630939427412	-0.0004485496177625427	1.27635014	41.03099823	0.9928596	0.09113986986851184	0.0666292	0.00482
-0.0522	0.0449	0.1229	0.00017278759594743863	-0.0005044001538263612	-0.0005619960191421741	1.09546399	35.21602631	0.95080839	0.06789827721492203	0.0635026	0.00391
-0.0604	0.0724	0.127	-0.00031415926535897925	-0.0004991641660703782	-0.000619591884457987	1.30882049	42.07482529	0.96470553	0.0672889357189107	0.0606005	0.0033
-0.0675	0.0759	0.105	-0.0004747295565424576	-0.0005899212871740833	-0.0006440264939859076	1.30164254	41.84407425	1.01376796	0.0463881010907552	0.0651487	0.00468
-0.0725	0.0457	0.0956	-0.000322885911618951	-0.0004939281783143952	-0.0007696902001294993	1.19332564	38.36199951	0.98571984	0.0632750229963393	0.0674565	0.00561
-0.0707	0.0511	0.1226	-0.0001256637061435917	-0.000460766922526503	-0.0008185594191853405	1.20278478	38.66608047	0.96561702	0.04816263401595462	0.0636253	0.00417
-0.0627	0.0885	0.1645	-0.0006021385919380437	-0.0005358160803622592	-0.0007330382858376184	1.08735621	34.9553833	0.98184615	0.1191522588488965	0.0575321	0.00258
-0.0462	0.0472	0.1146	-0.0008168140899333463	-0.0004188790204786391	-0.0005462880558742252	1.08743918	34.95805359	0.9957166	0.1336181393921158	0.0677374	0.00507
-0.04	0.0284	0.1058	-0.0004049163864626844	-0.00041015237421866745	-0.0006283185307179585	1.08549821	34.89565659	0.96160653	0.058932741228718326	0.0682088	0.00457
-0.0525	0.0348	0.0899	-6.981317007977319e-05	-0.0005183627878423159	-0.0008220500776893293	1.17216766	37.68183136	0.94240181	0.06665225884889653	0.0668795	0.0041
-0.0537	0.0625	0.1149	-0.0005375614096142535	-0.000439822971502571	-0.0007295476273336296	1.1527034	37.05611038	0.97979739	0.08583952531149627	0.0627946	0.00326
-0.0579	0.0641	0.1372	-0.0008709192967451704	-0.0007278022980816354	-0.0006178465552059926	1.15497029	37.12898254	0.97024209	0.0647519142918809	0.060203	0.00262
-0.063	0.0121	0.1385	-0.0005846852994181004	-0.0007417649320975902	-0.0007504915783575615	1.12965214	36.31507874	0.95657348	0.08004208272472972	0.0588763	0.00199
-0.0683	0.0224	0.1551	-0.00034033920413889426	-0.0006702064327658224	-0.0009669124056048585	1.30561745	41.97185898	0.97311582	0.05881627109291353	0.0565491	0.00171
-0.0732	0.0388	0.1645	-0.00023561944901923448	-0.000778416846389471	-0.0010245082709206715	1.24696124	40.08622742	0.96555816	0.04422630170295608	0.053426	0.00144
-0.0684	0.0737	0.1854	-0.0009354964790689606	-0.000710349005561692	-0.0008779006137531476	1.36006141	43.72207642	0.98007161	0.10632762640225144	0.0516574	0.00137
-0.07	0.0858	0.1915	-0.0012409290981679683	-0.0009180431865490173	-0.0007295476273336296	1.218467	39.17021942	0.97871496	0.05287398932529256	0.0518007	0.00152
-0.071	0.0212	0.1842	-0.0009145525280450286	-0.0008203047484373349	-0.000752236907609556	1.14979255	36.96253204	0.9719743	0.09524021442552742	0.0536101	0.00165
-0.0774	0.0291	0.1904	-0.00041015237421866745	-0.000731292956585624	-0.0009459684545809266	1.16567945	37.47325134	0.97758693	0.05985717463247215	0.0502393	0.001
-0.0798	0.051	0.1981	-0.0002548180707911721	-0.0007661995416255106	-0.000932005820564972	1.2637409	40.62564468	0.96490692	0.0422101761241668	0.049503	0.00089
-0.0821	0.0844	0.2125	-0.000804596785169386	-0.0009529497715889039	-0.000932005820564972	1.16122365	37.33000946	0.97094501	0.08692644721708037	0.0477173	0.00086
-0.0799	0.0599	0.1686	-0.0010367255756846318	-0.0008709192967451704	-0.0008237954069413235	1.2724731	40.90636063	1.02227753	0.09171848394913139	0.057084	0.00219
-0.0578	0.0475	0.1415	-0.0009808750396208131	-0.000752236907609556	-0.0006684611035138282	1.15142679	37.01507187	0.99741596	0.07809336143134643	0.0645772	0.00354
-0.0656	0.0391	0.129	-0.00027750735106709843	-0.0007470009198535729	-0.0007853981633974483	1.07911348	34.69040298	0.97014661	0.06997703680966587	0.0610421	0.00293
-0.076	0.1173	0.2042	-0.0008342673824532895	-0.0008639379797371932	-0.0007871434926494425	1.14199817	36.71196747	1.04137437	0.19757212102609023	0.0509685	0.00128
-0.0787	0.0921	0.2259	-0.0009372418083209549	-0.0010506882097005862	-0.0007068583470577034	0.99688047	32.0468483	0.95875652	0.06810049007113989	0.0474492	0.00094
-0.0634	0.0118	0.1654	-0.0002530727415391778	-0.0007557275661135446	-0.0008011061266653974	1.05179775	33.81228256	0.99704438	0.20976887449882564	0.0555583	0.00162
-0.0534	0.0133	0.1428	0.00011170107212763708	-0.0005462880558742252	-0.0008726646259971648	0.99449933	31.97030258	0.93064335	0.06638859116189505	0.0590642	0.00209
-0.057	0.0646	0.1853	-0.0005899212871740833	-0.0007155849933176752	-0.0007173303225696694	1.37234998	44.11711884	1.07613606	0.14871268000863327	0.0558671	0.00183
-0.0605	0.0918	0.1986	0.00040666171571467877	-0.0005637413483941684	-0.0009197885158010115	1.31214547	42.1817131	1.06645774	0.11154424205218053	0.0496244	0.00125
-0.0811	0.0255	0.1409	0.0005759586531581287	-0.0005759586531581287	-0.0010035643198967395	1.26312196	40.60575104	1.08275232	0.15786450231515692	0.0560061	0.00169
-0.0872	0.0347	0.1511	0.0010262536001726657	-0.0006056292504420323	-0.000932005820564972	1.17926955	37.91013336	0.9860578	0.053076202181510414	0.0529873	0.00151
-0.0905	0.0921	0.1998	2.268928027592628e-05	-0.0006876597252857658	-0.000932005820564972	1.30842233	42.06202698	1.00555809	0.16367973973702363	0.0468074	0.00074
-0.0875	0.0868	0.1959	-0.0001064650843716541	-0.0008656833089891874	-0.0008307767239493009	1.12879443	36.2875061	0.97093696	0.03262035224833367	0.0469096	0.00064
-0.0841	0.0273	0.1731	0.0005707226654021458	-0.000921533845053006	-0.0008203047484373349	1.14480162	36.80208969	0.96303474	0.1228755130674792	0.0492092	0.00095
-0.0913	0.0516	0.1888	0.0006213372137099814	-0.0009878563566287904	-0.0009616764178488756	1.1056397	35.54314804	0.94918226	0.06011543646475804	0.046706	0.00074
-0.0989	0.1003	0.2347	-0.0002513274122871834	-0.000900589894029074	-0.000921533845053006	1.32504046	42.59625244	1.01902386	0.15220368306963755	0.042935	0.00041
-0.1025	0.0869	0.228	-0.00029496064358704166	-0.0008779006137531476	-0.0009930923443847736	1.18764818	38.17948532	0.97899662	0.030594050545377584	0.044188	0.00063
-0.1077	0.0325	0.2253	0.0002007128639793479	-0.0007993607974134029	-0.0011623892818282235	1.24048865	39.87815475	0.97078968	0.09947551306747923	0.0429739	0.00053
-0.1097	0.0396	0.237	0.0004747295565424576	-0.0009180431865490173	-0.0012409290981679683	1.05553532	33.93243408	0.93558796	0.04436194490192344	0.0407386	0.00038
-0.1162	0.0768	0.2369	1.7453292519943296e-05	-0.0009669124056048585	-0.0014067353771074296	1.07236457	34.47344589	0.95892849	0.07739758810089081	0.0415404	0.00034
-0.1168	0.0968	0.2422	-0.0005550147021341969	-0.0009494591130849152	-0.001308996938995747	1.38663721	44.5764122	0.97108324	0.06028298626428831	0.0399371	0.00036
